NAME;RA2000;DE2000;P0;P1;AGE;DIST
J2113+4644;318.35128;46.73575;1.014684793189;7.14612E-16;4.0;2.25E7
J2044+4614;311.245;46.24833;1.3927154635;6.3E-16;26.78;3.5E7
J2047+5029;311.97767;50.49394;0.445944557385;4.17572E-15;5.03;1690000.0
J2122+54;320.75;54.55;0.1388657;;1.7;0
J2023+5037;305.92476;50.62635;0.372619054536;2.512052E-15;1.8;2350000.0
J2022+5154;305.7078;51.91395;0.529196917808;3.06337E-15;1.8;2740000.0
J2038+5319;309.5132;53.32023;1.424568215153;9.4418E-16;13.83;2.39E7
J2030+55;307.5;55.0;0.579;;3.67;0
J2046+5708;311.6942;57.14364;0.476734842147;1.11216E-14;9.67;679000.0
J2105+6223;316.30388;62.38486;2.30487883766;5.219E-15;3.03;7000000.0
J2217+5733;334.47929;57.55111;1.05684421944;6.51E-16;6.82;2.57E7
J2210+57;332.75;57.48333;2.05743;;8.67;0
J2216+5759;334.02175;57.99825;0.41910226464;6.9048E-14;7.82;96200.0
J2238+6021;339.5;60.35;3.07;;8.74;0
J2229+6114;337.272;61.23592;0.05162357393;7.827E-14;3.0;10500.0
J2229+6205;337.42431;62.09334;0.443054560638;2.25534E-15;5.7;3110000.0
J2206+6151;331.5755;61.86614;0.322673549948;3.97E-16;13.81;1.29E7
J2229+64;337.25;64.96667;1.89312;;16.46;0
J2225+6535;336.46967;65.59322;0.682542497406;9.6606E-15;2.0;1120000.0
J2244+63;341.0;63.0;0.461;;3.58;0
J2319+6411;349.89671;64.19049;0.21601827884014;1.632E-16;25.66;2.1E7
J2311+67;347.75;67.08333;1.9447;;5.02;0
J2316+69;349.25;69.2;0.813386;;3.62;0
